group,variable,value
1- iPhone XR 64Go,A72,0
1- iPhone XR 64Go,CORE-X4,0
1- iPhone XR 64Go,FIND X2 NEO,0.07
1- iPhone XR 64Go,Galaxy A42 5G,0
1- iPhone XR 64Go,Galaxy A80,0
1- iPhone XR 64Go,Galaxy Note 10 Lite,0
1- iPhone XR 64Go,Galaxy Note20,0.04
1- iPhone XR 64Go,Galaxy Note20 5G,0.04
1- iPhone XR 64Go,Galaxy Note20 Ultra 5G,0.04
1- iPhone XR 64Go,Galaxy S10 128Go,0
1- iPhone XR 64Go,Galaxy S10+ 128Go,0
1- iPhone XR 64Go,Galaxy S20,0.01
1- iPhone XR 64Go,Galaxy S20 5G,0
1- iPhone XR 64Go,Galaxy S20 FE,0.03
1- iPhone XR 64Go,Galaxy S20 FE 5G,0.03
1- iPhone XR 64Go,Galaxy S20 Ultra 5G,0
1- iPhone XR 64Go,Galaxy S20+,0.03
1- iPhone XR 64Go,Galaxy S20+ 5G,0
1- iPhone XR 64Go,Galaxy Z Flip,0
1- iPhone XR 64Go,iPhone 11 128Go,0.24
1- iPhone XR 64Go,iPhone 11 256Go,0
1- iPhone XR 64Go,iPhone 11 64Go,1.69
1- iPhone XR 64Go,iPhone 11 Pro 256Go,0
1- iPhone XR 64Go,iPhone 11 Pro 64Go,0.26
1- iPhone XR 64Go,iPhone 11 Pro Max 256Go,0.01
1- iPhone XR 64Go,iPhone 11 Pro Max 64Go,0.24
1- iPhone XR 64Go,iPhone 12 128Go,1.22
1- iPhone XR 64Go,iPhone 12 64Go,9.61
1- iPhone XR 64Go,iPhone 12 mini 128Go,0.14
1- iPhone XR 64Go,iPhone 12 mini 64Go,0.68
1- iPhone XR 64Go,iPhone 12 Pro 128Go,0.06
1- iPhone XR 64Go,iPhone 12 Pro Max 128Go,1.16
1- iPhone XR 64Go,iPhone 12 Pro Max 256Go,0
1- iPhone XR 64Go,iPhone 12 Pro Max 512Go,0
1- iPhone XR 64Go,iPhone 7 32Go,0
1- iPhone XR 64Go,iPhone SE 2020 128Go,0
1- iPhone XR 64Go,iPhone SE 2020 256Go,0
1- iPhone XR 64Go,iPhone SE 2020 64Go,0.03
1- iPhone XR 64Go,iPhone XR 128Go,0
1- iPhone XR 64Go,iPhone XR 64Go,0
1- iPhone XR 64Go,Mi 10,0.07
1- iPhone XR 64Go,MI 10 LITE,0
1- iPhone XR 64Go,Mi 10T,0.01
1- iPhone XR 64Go,Mi 10T Lite,0
1- iPhone XR 64Go,MI 10T PRO,0.06
1- iPhone XR 64Go,Mi Note 10,0
1- iPhone XR 64Go,nova 5t,0.01
1- iPhone XR 64Go,P30,0
1- iPhone XR 64Go,P30 Pro 128Go,0.04
1- iPhone XR 64Go,P40,0
1- iPhone XR 64Go,P40 PRO,0
1- iPhone XR 64Go,Reno 4Z,0
1- iPhone XR 64Go,S43,0
1- iPhone XR 64Go,TREKKER-X4,0
1- iPhone XR 64Go,Xperia 5 II,0
1- iPhone XR 64Go,Galaxy Z Fold 2,0
1- iPhone XR 64Go,iPhone 12 mini 256Go,0.01
1- iPhone XR 64Go,iPhone 12 Pro 256Go,0.01
1- iPhone XR 64Go,A53s,0
2- Galaxy S9,A72,0
2- Galaxy S10,CORE-X4,0
2- Galaxy S11,FIND X2 NEO,0.07
2- Galaxy S12,Galaxy A42 5G,0
2- Galaxy S13,Galaxy A80,0
2- Galaxy S14,Galaxy Note 10 Lite,0
2- Galaxy S15,Galaxy Note20,0.04
2- Galaxy S16,Galaxy Note20 5G,0.04
2- Galaxy S17,Galaxy Note20 Ultra 5G,0.04
2- Galaxy S18,Galaxy S10 128Go,0
2- Galaxy S19,Galaxy S10+ 128Go,0
2- Galaxy S20,Galaxy S20,0.01
2- Galaxy S21,Galaxy S20 5G,0
2- Galaxy S22,Galaxy S20 FE,0.03
2- Galaxy S23,Galaxy S20 FE 5G,0.03
2- Galaxy S24,Galaxy S20 Ultra 5G,0
2- Galaxy S25,Galaxy S20+,0.03
2- Galaxy S26,Galaxy S20+ 5G,0
2- Galaxy S27,Galaxy Z Flip,0
2- Galaxy S28,iPhone 11 128Go,0.24
2- Galaxy S29,iPhone 11 256Go,0
2- Galaxy S30,iPhone 11 64Go,1.69
2- Galaxy S31,iPhone 11 Pro 256Go,0
2- Galaxy S32,iPhone 11 Pro 64Go,0.26
2- Galaxy S33,iPhone 11 Pro Max 256Go,0.01
2- Galaxy S34,iPhone 11 Pro Max 64Go,0.24
2- Galaxy S35,iPhone 12 128Go,1.22
2- Galaxy S36,iPhone 12 64Go,9.61
2- Galaxy S37,iPhone 12 mini 128Go,0.14
2- Galaxy S38,iPhone 12 mini 64Go,0.68
2- Galaxy S39,iPhone 12 Pro 128Go,0.06
2- Galaxy S40,iPhone 12 Pro Max 128Go,1.16
2- Galaxy S41,iPhone 12 Pro Max 256Go,0
2- Galaxy S42,iPhone 12 Pro Max 512Go,0
2- Galaxy S43,iPhone 7 32Go,0
2- Galaxy S44,iPhone SE 2020 128Go,0
2- Galaxy S45,iPhone SE 2020 256Go,0
2- Galaxy S46,iPhone SE 2020 64Go,0.03
2- Galaxy S47,iPhone XR 128Go,0
2- Galaxy S48,iPhone XR 64Go,0
2- Galaxy S49,Mi 10,0.07
2- Galaxy S50,MI 10 LITE,0
2- Galaxy S51,Mi 10T,0.01
2- Galaxy S52,Mi 10T Lite,0
2- Galaxy S53,MI 10T PRO,0.06
2- Galaxy S54,Mi Note 10,0
2- Galaxy S55,nova 5t,0.01
2- Galaxy S56,P30,0
2- Galaxy S57,P30 Pro 128Go,0.04
2- Galaxy S58,P40,0
2- Galaxy S59,P40 PRO,0
2- Galaxy S60,Reno 4Z,0
2- Galaxy S61,S43,0
2- Galaxy S62,TREKKER-X4,0
2- Galaxy S63,Xperia 5 II,0
2- Galaxy S64,Galaxy Z Fold 2,0
2- Galaxy S65,iPhone 12 mini 256Go,0.01
2- Galaxy S66,iPhone 12 Pro 256Go,0.01
2- Galaxy S67,A53s,0
3- iPhone 8 64Go,A72,0.01
3- iPhone 8 64Go,CORE-X4,0
3- iPhone 8 64Go,FIND X2 NEO,0
3- iPhone 8 64Go,Galaxy A42 5G,0
3- iPhone 8 64Go,Galaxy A80,0
3- iPhone 8 64Go,Galaxy Note 10 Lite,0
3- iPhone 8 64Go,Galaxy Note20,0.01
