Repris;Racheté;Poids
iPhone XR 64Go;iPhone 12 64Go;59,9
iPhone XR 64Go;iPhone 11 64Go;10,87
iPhone XR 64Go;iPhone 12 Pro Max 128Go;8,31
iPhone XR 64Go;iPhone 12 128Go;8
iPhone XR 64Go;iPhone 12 mini 64Go;3,9
iPhone XR 64Go;iPhone 11 Pro 64Go;1,64
iPhone XR 64Go;iPhone 11 128Go;1,64
iPhone XR 64Go;iPhone 11 Pro Max 64Go;1,33
iPhone XR 64Go;iPhone 12 mini 128Go;0,92
iPhone XR 64Go;FIND X2 NEO;0,51
iPhone XR 64Go;Mi 10;0,41
iPhone XR 64Go;MI 10T PRO;0,41
iPhone XR 64Go;iPhone 12 Pro 128Go;0,31
iPhone XR 64Go;Galaxy S20 FE 5G;0,21
iPhone XR 64Go;iPhone SE 2020 64Go;0,21
iPhone XR 64Go;Galaxy S20 FE;0,21
iPhone XR 64Go;Galaxy Note20 5G;0,21
iPhone XR 64Go;Galaxy S20+;0,21
iPhone XR 64Go;Galaxy Note20 Ultra 5G;0,21
iPhone XR 64Go;Galaxy Note20;0,21
iPhone XR 64Go;nova 5t;0,1
iPhone XR 64Go;iPhone 11 Pro Max 256Go;0,1
iPhone XR 64Go;Galaxy S20;0,1
iPhone XR 64Go;P30 Pro 128Go;0,1
iPhone 8 64Go;iPhone 12 64Go;38,11
iPhone 8 64Go;iPhone 11 64Go;29,53
iPhone 8 64Go;iPhone 12 mini 64Go;7,49
iPhone 8 64Go;iPhone 12 128Go;5,32
iPhone 8 64Go;iPhone 12 Pro Max 128Go;4,34
iPhone 8 64Go;iPhone 11 Pro 64Go;3,04
iPhone 8 64Go;iPhone 11 128Go;2,71
iPhone 8 64Go;iPhone SE 2020 64Go;1,85
iPhone 8 64Go;iPhone 12 mini 128Go;1,85
iPhone 8 64Go;iPhone 12 Pro 128Go;0,87
iPhone 8 64Go;Galaxy S20 FE;0,76
iPhone 8 64Go;iPhone 11 Pro Max 64Go;0,65
iPhone 8 64Go;iPhone XR 64Go;0,43
iPhone 8 64Go;Galaxy S20;0,33
iPhone 8 64Go;Galaxy Note20 5G;0,33
iPhone 8 64Go;iPhone 12 Pro Max 512Go;0,22
iPhone 8 64Go;Galaxy S20+;0,22
iPhone 8 64Go;Mi 10T;0,22
