group,variable,value
Galaxy S9,Galaxy Note 10 Lite,0
Galaxy S9,Galaxy Note20,3
Galaxy S9,Galaxy Note20 5G,6
Galaxy S9,Galaxy Note20 Ultra 5G,0
Galaxy S9,Galaxy S10 128Go,0
Galaxy S9,Galaxy S20,3
Galaxy S9,Galaxy S20 5G,9
Galaxy S9,Galaxy S20 FE,68
Galaxy S9,Galaxy S20 FE 5G,0
Galaxy S9,Galaxy S20 Ultra 5G,0
Galaxy S9,Galaxy S20+,3
Galaxy S9,iPhone 11 64Go,3
Galaxy S9,iPhone 11 Pro 64Go,0
Galaxy S9,iPhone 11 Pro Max 64Go,0
Galaxy S9,iPhone 12 128Go,0
Galaxy S9,iPhone 12 64Go,0
Galaxy S9,iPhone 12 mini 128Go,0
Galaxy S9,iPhone 12 mini 64Go,0
Galaxy S9,iPhone 12 Pro 128Go,0
Galaxy S9,iPhone 12 Pro Max 128Go,0
Galaxy S9,iPhone SE 2020 64Go,3
Galaxy S9,Mi 10,0
Galaxy S9,MI 10 LITE,0
Galaxy S9,Mi 10T,0
Galaxy S9,Mi 10T Lite,0
Galaxy S9,MI 10T PRO,3
Galaxy S9,P30 Pro 128Go,0
Galaxy S9,P40 PRO,0
Galaxy S8,Galaxy Note 10 Lite,3
Galaxy S8,Galaxy Note20,3
Galaxy S8,Galaxy Note20 5G,0
Galaxy S8,Galaxy Note20 Ultra 5G,0
Galaxy S8,Galaxy S10 128Go,3
Galaxy S8,Galaxy S20,3
Galaxy S8,Galaxy S20 5G,6
Galaxy S8,Galaxy S20 FE,49
Galaxy S8,Galaxy S20 FE 5G,11
Galaxy S8,Galaxy S20 Ultra 5G,3
Galaxy S8,Galaxy S20+,3
Galaxy S8,iPhone 11 64Go,0
Galaxy S8,iPhone 11 Pro 64Go,0
Galaxy S8,iPhone 11 Pro Max 64Go,0
Galaxy S8,iPhone 12 128Go,0
Galaxy S8,iPhone 12 64Go,3
Galaxy S8,iPhone 12 mini 128Go,0
Galaxy S8,iPhone 12 mini 64Go,0
Galaxy S8,iPhone 12 Pro 128Go,0
Galaxy S8,iPhone 12 Pro Max 128Go,0
Galaxy S8,iPhone SE 2020 64Go,0
Galaxy S8,Mi 10,0
Galaxy S8,MI 10 LITE,3
Galaxy S8,Mi 10T,3
Galaxy S8,Mi 10T Lite,3
Galaxy S8,MI 10T PRO,3
Galaxy S8,P30 Pro 128Go,3
Galaxy S8,P40 PRO,0
iPhone 7 32Go,Galaxy Note 10 Lite,0
iPhone 7 32Go,Galaxy Note20,0
iPhone 7 32Go,Galaxy Note20 5G,0
iPhone 7 32Go,Galaxy Note20 Ultra 5G,4
iPhone 7 32Go,Galaxy S10 128Go,0
iPhone 7 32Go,Galaxy S20,0
iPhone 7 32Go,Galaxy S20 5G,0
iPhone 7 32Go,Galaxy S20 FE,4
iPhone 7 32Go,Galaxy S20 FE 5G,0
iPhone 7 32Go,Galaxy S20 Ultra 5G,0
iPhone 7 32Go,Galaxy S20+,0
iPhone 7 32Go,iPhone 11 64Go,7
iPhone 7 32Go,iPhone 11 Pro 64Go,0
iPhone 7 32Go,iPhone 11 Pro Max 64Go,0
iPhone 7 32Go,iPhone 12 128Go,0
iPhone 7 32Go,iPhone 12 64Go,48
iPhone 7 32Go,iPhone 12 mini 128Go,0
iPhone 7 32Go,iPhone 12 mini 64Go,33
iPhone 7 32Go,iPhone 12 Pro 128Go,0
iPhone 7 32Go,iPhone 12 Pro Max 128Go,0
iPhone 7 32Go,iPhone SE 2020 64Go,4
iPhone 7 32Go,Mi 10,0
iPhone 7 32Go,MI 10 LITE,0
iPhone 7 32Go,Mi 10T,0
iPhone 7 32Go,Mi 10T Lite,0
iPhone 7 32Go,MI 10T PRO,0
iPhone 7 32Go,P30 Pro 128Go,0
iPhone 7 32Go,P40 PRO,0
iPhone 8 64Go,Galaxy Note 10 Lite,0
iPhone 8 64Go,Galaxy Note20,4
iPhone 8 64Go,Galaxy Note20 5G,0
iPhone 8 64Go,Galaxy Note20 Ultra 5G,0
iPhone 8 64Go,Galaxy S10 128Go,0
iPhone 8 64Go,Galaxy S20,0
iPhone 8 64Go,Galaxy S20 5G,0
iPhone 8 64Go,Galaxy S20 FE,4
iPhone 8 64Go,Galaxy S20 FE 5G,0
iPhone 8 64Go,Galaxy S20 Ultra 5G,0
iPhone 8 64Go,Galaxy S20+,0
iPhone 8 64Go,iPhone 11 64Go,29
iPhone 8 64Go,iPhone 11 Pro 64Go,0
iPhone 8 64Go,iPhone 11 Pro Max 64Go,0
iPhone 8 64Go,iPhone 12 128Go,0
iPhone 8 64Go,iPhone 12 64Go,33
iPhone 8 64Go,iPhone 12 mini 128Go,4
iPhone 8 64Go,iPhone 12 mini 64Go,13
iPhone 8 64Go,iPhone 12 Pro 128Go,0
iPhone 8 64Go,iPhone 12 Pro Max 128Go,0
iPhone 8 64Go,iPhone SE 2020 64Go,13
iPhone 8 64Go,Mi 10,0
iPhone 8 64Go,MI 10 LITE,0
iPhone 8 64Go,Mi 10T,0
iPhone 8 64Go,Mi 10T Lite,0
iPhone 8 64Go,MI 10T PRO,0
iPhone 8 64Go,P30 Pro 128Go,0
iPhone 8 64Go,P40 PRO,0
iPhone XR 64Go,Galaxy Note 10 Lite,0
iPhone XR 64Go,Galaxy Note20,0
iPhone XR 64Go,Galaxy Note20 5G,0
iPhone XR 64Go,Galaxy Note20 Ultra 5G,0
iPhone XR 64Go,Galaxy S10 128Go,0
iPhone XR 64Go,Galaxy S20,0
iPhone XR 64Go,Galaxy S20 5G,0
iPhone XR 64Go,Galaxy S20 FE,0
iPhone XR 64Go,Galaxy S20 FE 5G,0
iPhone XR 64Go,Galaxy S20 Ultra 5G,0
iPhone XR 64Go,Galaxy S20+,0
iPhone XR 64Go,iPhone 11 64Go,4
iPhone XR 64Go,iPhone 11 Pro 64Go,4
iPhone XR 64Go,iPhone 11 Pro Max 64Go,0
iPhone XR 64Go,iPhone 12 128Go,7
iPhone XR 64Go,iPhone 12 64Go,70
iPhone XR 64Go,iPhone 12 mini 128Go,0
iPhone XR 64Go,iPhone 12 mini 64Go,11
iPhone XR 64Go,iPhone 12 Pro 128Go,0
iPhone XR 64Go,iPhone 12 Pro Max 128Go,4
iPhone XR 64Go,iPhone SE 2020 64Go,0
iPhone XR 64Go,Mi 10,0
iPhone XR 64Go,MI 10 LITE,0
iPhone XR 64Go,Mi 10T,0
iPhone XR 64Go,Mi 10T Lite,0
iPhone XR 64Go,MI 10T PRO,0
iPhone XR 64Go,P30 Pro 128Go,0
iPhone XR 64Go,P40 PRO,0
Galaxy S9+,Galaxy Note 10 Lite,0
Galaxy S9+,Galaxy Note20,6
Galaxy S9+,Galaxy Note20 5G,0
Galaxy S9+,Galaxy Note20 Ultra 5G,12
Galaxy S9+,Galaxy S10 128Go,0
Galaxy S9+,Galaxy S20,0
Galaxy S9+,Galaxy S20 5G,0
Galaxy S9+,Galaxy S20 FE,35
Galaxy S9+,Galaxy S20 FE 5G,12
Galaxy S9+,Galaxy S20 Ultra 5G,0
Galaxy S9+,Galaxy S20+,24
Galaxy S9+,iPhone 11 64Go,0
Galaxy S9+,iPhone 11 Pro 64Go,0
Galaxy S9+,iPhone 11 Pro Max 64Go,0
Galaxy S9+,iPhone 12 128Go,0
Galaxy S9+,iPhone 12 64Go,6
Galaxy S9+,iPhone 12 mini 128Go,0
Galaxy S9+,iPhone 12 mini 64Go,6
Galaxy S9+,iPhone 12 Pro 128Go,0
Galaxy S9+,iPhone 12 Pro Max 128Go,0
Galaxy S9+,iPhone SE 2020 64Go,0
Galaxy S9+,Mi 10,0
Galaxy S9+,MI 10 LITE,0
Galaxy S9+,Mi 10T,0
Galaxy S9+,Mi 10T Lite,0
