group,variable,value
1- Galaxy S9,Galaxy Note 10 Lite,0
1- Galaxy S9,Galaxy Note20,3
1- Galaxy S9,Galaxy Note20 5G,6
1- Galaxy S9,Galaxy Note20 Ultra 5G,0
1- Galaxy S9,Galaxy S10 128Go,0
1- Galaxy S9,Galaxy S20,3
1- Galaxy S9,Galaxy S20 5G,9
1- Galaxy S9,Galaxy S20 FE,68
1- Galaxy S9,Galaxy S20 FE 5G,0
1- Galaxy S9,Galaxy S20 Ultra 5G,0
1- Galaxy S9,Galaxy S20+,3
1- Galaxy S9,iPhone 11 64Go,3
1- Galaxy S9,iPhone 11 Pro 64Go,0
1- Galaxy S9,iPhone 11 Pro Max 64Go,0
1- Galaxy S9,iPhone 12 128Go,0
1- Galaxy S9,iPhone 12 64Go,0
1- Galaxy S9,iPhone 12 mini 128Go,0
1- Galaxy S9,iPhone 12 mini 64Go,0
1- Galaxy S9,iPhone 12 Pro 128Go,0
1- Galaxy S9,iPhone 12 Pro Max 128Go,0
1- Galaxy S9,iPhone SE 2020 64Go,3
1- Galaxy S9,Mi 10,0
1- Galaxy S9,MI 10 LITE,0
1- Galaxy S9,Mi 10T,0
1- Galaxy S9,Mi 10T Lite,0
1- Galaxy S9,MI 10T PRO,3
1- Galaxy S9,P30 Pro 128Go,0
1- Galaxy S9,P40 PRO,0
2- Galaxy S8,Galaxy Note 10 Lite,3
2- Galaxy S8,Galaxy Note20,3
2- Galaxy S8,Galaxy Note20 5G,0
2- Galaxy S8,Galaxy Note20 Ultra 5G,0
2- Galaxy S8,Galaxy S10 128Go,3
2- Galaxy S8,Galaxy S20,3
2- Galaxy S8,Galaxy S20 5G,6
2- Galaxy S8,Galaxy S20 FE,49
2- Galaxy S8,Galaxy S20 FE 5G,11
2- Galaxy S8,Galaxy S20 Ultra 5G,3
2- Galaxy S8,Galaxy S20+,3
2- Galaxy S8,iPhone 11 64Go,0
2- Galaxy S8,iPhone 11 Pro 64Go,0
2- Galaxy S8,iPhone 11 Pro Max 64Go,0
2- Galaxy S8,iPhone 12 128Go,0
2- Galaxy S8,iPhone 12 64Go,3
2- Galaxy S8,iPhone 12 mini 128Go,0
2- Galaxy S8,iPhone 12 mini 64Go,0
2- Galaxy S8,iPhone 12 Pro 128Go,0
2- Galaxy S8,iPhone 12 Pro Max 128Go,0
2- Galaxy S8,iPhone SE 2020 64Go,0
2- Galaxy S8,Mi 10,0
2- Galaxy S8,MI 10 LITE,3
2- Galaxy S8,Mi 10T,3
2- Galaxy S8,Mi 10T Lite,3
2- Galaxy S8,MI 10T PRO,3
2- Galaxy S8,P30 Pro 128Go,3
2- Galaxy S8,P40 PRO,0
3- iPhone 7 32Go,Galaxy Note 10 Lite,0
3- iPhone 7 32Go,Galaxy Note20,0
3- iPhone 7 32Go,Galaxy Note20 5G,0
3- iPhone 7 32Go,Galaxy Note20 Ultra 5G,4
3- iPhone 7 32Go,Galaxy S10 128Go,0
3- iPhone 7 32Go,Galaxy S20,0
3- iPhone 7 32Go,Galaxy S20 5G,0
3- iPhone 7 32Go,Galaxy S20 FE,4
3- iPhone 7 32Go,Galaxy S20 FE 5G,0
3- iPhone 7 32Go,Galaxy S20 Ultra 5G,0
3- iPhone 7 32Go,Galaxy S20+,0
3- iPhone 7 32Go,iPhone 11 64Go,7
3- iPhone 7 32Go,iPhone 11 Pro 64Go,0
3- iPhone 7 32Go,iPhone 11 Pro Max 64Go,0
3- iPhone 7 32Go,iPhone 12 128Go,0
3- iPhone 7 32Go,iPhone 12 64Go,48
3- iPhone 7 32Go,iPhone 12 mini 128Go,0
3- iPhone 7 32Go,iPhone 12 mini 64Go,33
3- iPhone 7 32Go,iPhone 12 Pro 128Go,0
3- iPhone 7 32Go,iPhone 12 Pro Max 128Go,0
3- iPhone 7 32Go,iPhone SE 2020 64Go,4
3- iPhone 7 32Go,Mi 10,0
3- iPhone 7 32Go,MI 10 LITE,0
3- iPhone 7 32Go,Mi 10T,0
3- iPhone 7 32Go,Mi 10T Lite,0
3- iPhone 7 32Go,MI 10T PRO,0
3- iPhone 7 32Go,P30 Pro 128Go,0
3- iPhone 7 32Go,P40 PRO,0
4- iPhone 8 64Go,Galaxy Note 10 Lite,0
4- iPhone 8 64Go,Galaxy Note20,4
4- iPhone 8 64Go,Galaxy Note20 5G,0
4- iPhone 8 64Go,Galaxy Note20 Ultra 5G,0
4- iPhone 8 64Go,Galaxy S10 128Go,0
4- iPhone 8 64Go,Galaxy S20,0
4- iPhone 8 64Go,Galaxy S20 5G,0
4- iPhone 8 64Go,Galaxy S20 FE,4
4- iPhone 8 64Go,Galaxy S20 FE 5G,0
4- iPhone 8 64Go,Galaxy S20 Ultra 5G,0
4- iPhone 8 64Go,Galaxy S20+,0
4- iPhone 8 64Go,iPhone 11 64Go,29
4- iPhone 8 64Go,iPhone 11 Pro 64Go,0
4- iPhone 8 64Go,iPhone 11 Pro Max 64Go,0
4- iPhone 8 64Go,iPhone 12 128Go,0
4- iPhone 8 64Go,iPhone 12 64Go,33
4- iPhone 8 64Go,iPhone 12 mini 128Go,4
4- iPhone 8 64Go,iPhone 12 mini 64Go,13
4- iPhone 8 64Go,iPhone 12 Pro 128Go,0
4- iPhone 8 64Go,iPhone 12 Pro Max 128Go,0
4- iPhone 8 64Go,iPhone SE 2020 64Go,13
4- iPhone 8 64Go,Mi 10,0
4- iPhone 8 64Go,MI 10 LITE,0
4- iPhone 8 64Go,Mi 10T,0
4- iPhone 8 64Go,Mi 10T Lite,0
4- iPhone 8 64Go,MI 10T PRO,0
4- iPhone 8 64Go,P30 Pro 128Go,0
4- iPhone 8 64Go,P40 PRO,0
5- iPhone XR 64Go,Galaxy Note 10 Lite,0
5- iPhone XR 64Go,Galaxy Note20,0
5- iPhone XR 64Go,Galaxy Note20 5G,0
5- iPhone XR 64Go,Galaxy Note20 Ultra 5G,0
5- iPhone XR 64Go,Galaxy S10 128Go,0
5- iPhone XR 64Go,Galaxy S20,0
5- iPhone XR 64Go,Galaxy S20 5G,0
5- iPhone XR 64Go,Galaxy S20 FE,0
5- iPhone XR 64Go,Galaxy S20 FE 5G,0
5- iPhone XR 64Go,Galaxy S20 Ultra 5G,0
5- iPhone XR 64Go,Galaxy S20+,0
5- iPhone XR 64Go,iPhone 11 64Go,4
5- iPhone XR 64Go,iPhone 11 Pro 64Go,4
5- iPhone XR 64Go,iPhone 11 Pro Max 64Go,0
5- iPhone XR 64Go,iPhone 12 128Go,7
5- iPhone XR 64Go,iPhone 12 64Go,70
5- iPhone XR 64Go,iPhone 12 mini 128Go,0
5- iPhone XR 64Go,iPhone 12 mini 64Go,11
5- iPhone XR 64Go,iPhone 12 Pro 128Go,0
5- iPhone XR 64Go,iPhone 12 Pro Max 128Go,4
5- iPhone XR 64Go,iPhone SE 2020 64Go,0
5- iPhone XR 64Go,Mi 10,0
5- iPhone XR 64Go,MI 10 LITE,0
5- iPhone XR 64Go,Mi 10T,0
5- iPhone XR 64Go,Mi 10T Lite,0
5- iPhone XR 64Go,MI 10T PRO,0
5- iPhone XR 64Go,P30 Pro 128Go,0
5- iPhone XR 64Go,P40 PRO,0
6- Galaxy S9+,Galaxy Note 10 Lite,0
6- Galaxy S9+,Galaxy Note20,6
6- Galaxy S9+,Galaxy Note20 5G,0
6- Galaxy S9+,Galaxy Note20 Ultra 5G,12
6- Galaxy S9+,Galaxy S10 128Go,0
6- Galaxy S9+,Galaxy S20,0
6- Galaxy S9+,Galaxy S20 5G,0
6- Galaxy S9+,Galaxy S20 FE,35
6- Galaxy S9+,Galaxy S20 FE 5G,12
6- Galaxy S9+,Galaxy S20 Ultra 5G,0
6- Galaxy S9+,Galaxy S20+,24
6- Galaxy S9+,iPhone 11 64Go,0
6- Galaxy S9+,iPhone 11 Pro 64Go,0
6- Galaxy S9+,iPhone 11 Pro Max 64Go,0
6- Galaxy S9+,iPhone 12 128Go,0
6- Galaxy S9+,iPhone 12 64Go,6
6- Galaxy S9+,iPhone 12 mini 128Go,0
6- Galaxy S9+,iPhone 12 mini 64Go,6
6- Galaxy S9+,iPhone 12 Pro 128Go,0
6- Galaxy S9+,iPhone 12 Pro Max 128Go,0
6- Galaxy S9+,iPhone SE 2020 64Go,0
6- Galaxy S9+,Mi 10,0
6- Galaxy S9+,MI 10 LITE,0
6- Galaxy S9+,Mi 10T,0
6- Galaxy S9+,Mi 10T Lite,0
6- Galaxy S9+,MI 10T PRO,0
6- Galaxy S9+,P30 Pro 128Go,0
6- Galaxy S9+,P40 PRO,0
7- iPhone X 64Go,Galaxy Note 10 Lite,0
7- iPhone X 64Go,Galaxy Note20,6
7- iPhone X 64Go,Galaxy Note20 5G,0
7- iPhone X 64Go,Galaxy Note20 Ultra 5G,0
7- iPhone X 64Go,Galaxy S10 128Go,0
7- iPhone X 64Go,Galaxy S20,0
7- iPhone X 64Go,Galaxy S20 5G,0
7- iPhone X 64Go,Galaxy S20 FE,0
7- iPhone X 64Go,Galaxy S20 FE 5G,0
7- iPhone X 64Go,Galaxy S20 Ultra 5G,0
7- iPhone X 64Go,Galaxy S20+,0
7- iPhone X 64Go,iPhone 11 64Go,0
7- iPhone X 64Go,iPhone 11 Pro 64Go,12
7- iPhone X 64Go,iPhone 11 Pro Max 64Go,0
7- iPhone X 64Go,iPhone 12 128Go,12
7- iPhone X 64Go,iPhone 12 64Go,41
7- iPhone X 64Go,iPhone 12 mini 128Go,0
7- iPhone X 64Go,iPhone 12 mini 64Go,18
7- iPhone X 64Go,iPhone 12 Pro 128Go,12
7- iPhone X 64Go,iPhone 12 Pro Max 128Go,0
7- iPhone X 64Go,iPhone SE 2020 64Go,0
7- iPhone X 64Go,Mi 10,0
7- iPhone X 64Go,MI 10 LITE,0
7- iPhone X 64Go,Mi 10T,0
7- iPhone X 64Go,Mi 10T Lite,0
7- iPhone X 64Go,MI 10T PRO,0
7- iPhone X 64Go,P30 Pro 128Go,0
7- iPhone X 64Go,P40 PRO,0
8- iPhone 8 Plus 64Go,Galaxy Note 10 Lite,0
8- iPhone 8 Plus 64Go,Galaxy Note20,0
8- iPhone 8 Plus 64Go,Galaxy Note20 5G,0
8- iPhone 8 Plus 64Go,Galaxy Note20 Ultra 5G,0
8- iPhone 8 Plus 64Go,Galaxy S10 128Go,0
8- iPhone 8 Plus 64Go,Galaxy S20,0
8- iPhone 8 Plus 64Go,Galaxy S20 5G,0
8- iPhone 8 Plus 64Go,Galaxy S20 FE,0
