group;variable;value
Galaxy S9;Galaxy Note 10 Lite;0
Galaxy S9;Galaxy Note20;0,002267317
Galaxy S9;Galaxy Note20 5G;0,004534633
Galaxy S9;Galaxy Note20 Ultra 5G;0
Galaxy S9;Galaxy S10 128Go;0
Galaxy S9;Galaxy S20;0,002267317
Galaxy S9;Galaxy S20 5G;0,00680195
Galaxy S9;Galaxy S20 FE;0,052148283
Galaxy S9;Galaxy S20 FE 5G;0
Galaxy S9;Galaxy S20 Ultra 5G;0
Galaxy S9;Galaxy S20+;0,002267317
Galaxy S9;iPhone 11 64Go;0,002267317
Galaxy S9;iPhone 11 Pro 64Go;0
Galaxy S9;iPhone 11 Pro Max 64Go;0
Galaxy S9;iPhone 12 128Go;0
Galaxy S9;iPhone 12 64Go;0
Galaxy S9;iPhone 12 mini 128Go;0
Galaxy S9;iPhone 12 mini 64Go;0
Galaxy S9;iPhone 12 Pro 128Go;0
Galaxy S9;iPhone 12 Pro Max 128Go;0
Galaxy S9;iPhone SE 2020 64Go;0,002267317
Galaxy S9;Mi 10;0
Galaxy S9;MI 10 LITE;0
Galaxy S9;Mi 10T;0
Galaxy S9;Mi 10T Lite;0
Galaxy S9;MI 10T PRO;0,002267317
Galaxy S9;P30 Pro 128Go;0
Galaxy S9;P40 PRO;0
Galaxy S8;Galaxy Note 10 Lite;0,002267317
Galaxy S8;Galaxy Note20;0,002267317
Galaxy S8;Galaxy Note20 5G;0
Galaxy S8;Galaxy Note20 Ultra 5G;0
Galaxy S8;Galaxy S10 128Go;0,002267317
Galaxy S8;Galaxy S20;0,002267317
Galaxy S8;Galaxy S20 5G;0,004534633
Galaxy S8;Galaxy S20 FE;0,038544383
Galaxy S8;Galaxy S20 FE 5G;0,009069267
Galaxy S8;Galaxy S20 Ultra 5G;0,002267317
Galaxy S8;Galaxy S20+;0,002267317
Galaxy S8;iPhone 11 64Go;0
Galaxy S8;iPhone 11 Pro 64Go;0
Galaxy S8;iPhone 11 Pro Max 64Go;0
Galaxy S8;iPhone 12 128Go;0
Galaxy S8;iPhone 12 64Go;0,002267317
Galaxy S8;iPhone 12 mini 128Go;0
Galaxy S8;iPhone 12 mini 64Go;0
Galaxy S8;iPhone 12 Pro 128Go;0
Galaxy S8;iPhone 12 Pro Max 128Go;0
Galaxy S8;iPhone SE 2020 64Go;0
Galaxy S8;Mi 10;0
Galaxy S8;MI 10 LITE;0,002267317
Galaxy S8;Mi 10T;0,002267317
Galaxy S8;Mi 10T Lite;0,002267317
Galaxy S8;MI 10T PRO;0,002267317
Galaxy S8;P30 Pro 128Go;0,002267317
Galaxy S8;P40 PRO;0
iPhone 7 32Go;Galaxy Note 10 Lite;0
iPhone 7 32Go;Galaxy Note20;0
iPhone 7 32Go;Galaxy Note20 5G;0
iPhone 7 32Go;Galaxy Note20 Ultra 5G;0,002267317
iPhone 7 32Go;Galaxy S10 128Go;0
iPhone 7 32Go;Galaxy S20;0
iPhone 7 32Go;Galaxy S20 5G;0
iPhone 7 32Go;Galaxy S20 FE;0,002267317
iPhone 7 32Go;Galaxy S20 FE 5G;0
iPhone 7 32Go;Galaxy S20 Ultra 5G;0
iPhone 7 32Go;Galaxy S20+;0
iPhone 7 32Go;iPhone 11 64Go;0,004534633
iPhone 7 32Go;iPhone 11 Pro 64Go;0
iPhone 7 32Go;iPhone 11 Pro Max 64Go;0
iPhone 7 32Go;iPhone 12 128Go;0
iPhone 7 32Go;iPhone 12 64Go;0,029475116
iPhone 7 32Go;iPhone 12 mini 128Go;0
iPhone 7 32Go;iPhone 12 mini 64Go;0,02040585
iPhone 7 32Go;iPhone 12 Pro 128Go;0
iPhone 7 32Go;iPhone 12 Pro Max 128Go;0
iPhone 7 32Go;iPhone SE 2020 64Go;0,002267317
iPhone 7 32Go;Mi 10;0
iPhone 7 32Go;MI 10 LITE;0
iPhone 7 32Go;Mi 10T;0
iPhone 7 32Go;Mi 10T Lite;0
iPhone 7 32Go;MI 10T PRO;0
iPhone 7 32Go;P30 Pro 128Go;0
iPhone 7 32Go;P40 PRO;0
iPhone 8 64Go;Galaxy Note 10 Lite;0
iPhone 8 64Go;Galaxy Note20;0,002267317
iPhone 8 64Go;Galaxy Note20 5G;0
iPhone 8 64Go;Galaxy Note20 Ultra 5G;0
iPhone 8 64Go;Galaxy S10 128Go;0
iPhone 8 64Go;Galaxy S20;0
iPhone 8 64Go;Galaxy S20 5G;0
iPhone 8 64Go;Galaxy S20 FE;0,002267317
iPhone 8 64Go;Galaxy S20 FE 5G;0
iPhone 8 64Go;Galaxy S20 Ultra 5G;0
iPhone 8 64Go;Galaxy S20+;0
iPhone 8 64Go;iPhone 11 64Go;0,015871216
