group,variable,value
1- Galaxy S9,iPhone 11 64Go,0.002
1- Galaxy S9,iPhone 11 Pro 64Go,0
1- Galaxy S9,iPhone 11 Pro Max 64Go,0
1- Galaxy S9,iPhone 12 128Go,0
1- Galaxy S9,iPhone 12 64Go,0
1- Galaxy S9,iPhone 12 mini 128Go,0
1- Galaxy S9,iPhone 12 mini 64Go,0
1- Galaxy S9,iPhone 12 Pro 128Go,0
1- Galaxy S9,iPhone 12 Pro Max 128Go,0
1- Galaxy S9,iPhone SE 2020 64Go,0.002
1- Galaxy S9,Galaxy Note 10 Lite,0
1- Galaxy S9,Galaxy Note20,0.002
1- Galaxy S9,Galaxy Note20 5G,0.005
1- Galaxy S9,Galaxy Note20 Ultra 5G,0
1- Galaxy S9,Galaxy S10 128Go,0
1- Galaxy S9,Galaxy S20,0.002
1- Galaxy S9,Galaxy S20 5G,0.007
1- Galaxy S9,Galaxy S20 FE,0.052
1- Galaxy S9,Galaxy S20 FE 5G,0
1- Galaxy S9,Galaxy S20 Ultra 5G,0
1- Galaxy S9,Galaxy S20+,0.002
1- Galaxy S9,Mi 10,0
1- Galaxy S9,MI 10 LITE,0
1- Galaxy S9,Mi 10T,0
1- Galaxy S9,Mi 10T Lite,0
1- Galaxy S9,MI 10T PRO,0.002
1- Galaxy S9,P30 Pro 128Go,0
1- Galaxy S9,P40 PRO,0
2- Galaxy S8,iPhone 11 64Go,0
2- Galaxy S8,iPhone 11 Pro 64Go,0
2- Galaxy S8,iPhone 11 Pro Max 64Go,0
2- Galaxy S8,iPhone 12 128Go,0
2- Galaxy S8,iPhone 12 64Go,0.002
2- Galaxy S8,iPhone 12 mini 128Go,0
2- Galaxy S8,iPhone 12 mini 64Go,0
2- Galaxy S8,iPhone 12 Pro 128Go,0
2- Galaxy S8,iPhone 12 Pro Max 128Go,0
2- Galaxy S8,iPhone SE 2020 64Go,0
2- Galaxy S8,Mi 10,0
2- Galaxy S8,Galaxy Note 10 Lite,0.002
2- Galaxy S8,Galaxy Note20,0.002
2- Galaxy S8,Galaxy Note20 5G,0
2- Galaxy S8,Galaxy Note20 Ultra 5G,0
2- Galaxy S8,Galaxy S10 128Go,0.002
2- Galaxy S8,Galaxy S20,0.002
2- Galaxy S8,Galaxy S20 5G,0.005
2- Galaxy S8,Galaxy S20 FE,0.039
2- Galaxy S8,Galaxy S20 FE 5G,0.009
2- Galaxy S8,Galaxy S20 Ultra 5G,0.002
2- Galaxy S8,Galaxy S20+,0.002
2- Galaxy S8,MI 10 LITE,0.002
2- Galaxy S8,Mi 10T,0.002
2- Galaxy S8,Mi 10T Lite,0.002
2- Galaxy S8,MI 10T PRO,0.002
2- Galaxy S8,P30 Pro 128Go,0.002
2- Galaxy S8,P40 PRO,0
3- iPhone 7 32Go,iPhone 11 64Go,0.005
3- iPhone 7 32Go,iPhone 11 Pro 64Go,0
3- iPhone 7 32Go,iPhone 11 Pro Max 64Go,0
3- iPhone 7 32Go,iPhone 12 128Go,0
3- iPhone 7 32Go,iPhone 12 64Go,0.029
3- iPhone 7 32Go,iPhone 12 mini 128Go,0
3- iPhone 7 32Go,iPhone 12 mini 64Go,0.020
3- iPhone 7 32Go,iPhone 12 Pro 128Go,0
3- iPhone 7 32Go,iPhone 12 Pro Max 128Go,0
3- iPhone 7 32Go,iPhone SE 2020 64Go,0.002
3- iPhone 7 32Go,Galaxy Note 10 Lite,0
3- iPhone 7 32Go,Galaxy Note20,0
3- iPhone 7 32Go,Galaxy Note20 5G,0
3- iPhone 7 32Go,Galaxy Note20 Ultra 5G,0.002
3- iPhone 7 32Go,Galaxy S10 128Go,0
3- iPhone 7 32Go,Galaxy S20,0
3- iPhone 7 32Go,Galaxy S20 5G,0
3- iPhone 7 32Go,Galaxy S20 FE,0.002
3- iPhone 7 32Go,Galaxy S20 FE 5G,0
3- iPhone 7 32Go,Galaxy S20 Ultra 5G,0
3- iPhone 7 32Go,Galaxy S20+,0
3- iPhone 7 32Go,Mi 10,0
3- iPhone 7 32Go,MI 10 LITE,0
3- iPhone 7 32Go,Mi 10T,0
3- iPhone 7 32Go,Mi 10T Lite,0
3- iPhone 7 32Go,MI 10T PRO,0
3- iPhone 7 32Go,P30 Pro 128Go,0
3- iPhone 7 32Go,P40 PRO,0
4- iPhone 8 64Go,iPhone 11 64Go,0.016
4- iPhone 8 64Go,iPhone 11 Pro 64Go,0
4- iPhone 8 64Go,iPhone 11 Pro Max 64Go,0
4- iPhone 8 64Go,iPhone 12 128Go,0
4- iPhone 8 64Go,iPhone 12 64Go,0.018
4- iPhone 8 64Go,iPhone 12 mini 128Go,0.002
4- iPhone 8 64Go,iPhone 12 mini 64Go,0.007
4- iPhone 8 64Go,iPhone 12 Pro 128Go,0
4- iPhone 8 64Go,iPhone 12 Pro Max 128Go,0
4- iPhone 8 64Go,iPhone SE 2020 64Go,0.007
4- iPhone 8 64Go,Galaxy Note 10 Lite,0
4- iPhone 8 64Go,Galaxy Note20,0.002
4- iPhone 8 64Go,Galaxy Note20 5G,0
