target,source,value
iPhone XR 64Go,iPhone 12 64Go,599
iPhone XR 64Go,iPhone 11 64Go,1087
iPhone XR 64Go,iPhone 12 Pro Max 128Go,831
iPhone XR 64Go,iPhone 12 128Go,8
iPhone XR 64Go,iPhone 12 mini 64Go,39
iPhone XR 64Go,iPhone 11 Pro 64Go,164
iPhone XR 64Go,iPhone 11 128Go,164
iPhone XR 64Go,iPhone 11 Pro Max 64Go,133
iPhone XR 64Go,iPhone 12 mini 128Go,92
iPhone XR 64Go,FIND X2 NEO,51
iPhone XR 64Go,Mi 10,41
iPhone XR 64Go,MI 10T PRO,41
iPhone XR 64Go,iPhone 12 Pro 128Go,31
iPhone XR 64Go,Galaxy S20 FE 5G,21
iPhone XR 64Go,iPhone SE 2020 64Go,21
iPhone XR 64Go,Galaxy S20 FE,21
iPhone XR 64Go,Galaxy Note20 5G,21
iPhone XR 64Go,Galaxy S20+,21
iPhone XR 64Go,Galaxy Note20 Ultra 5G,21
iPhone XR 64Go,Galaxy Note20,21
iPhone XR 64Go,nova 5t,1
iPhone XR 64Go,iPhone 11 Pro Max 256Go,1
iPhone XR 64Go,Galaxy S20,1
iPhone XR 64Go,P30 Pro 128Go,1
iPhone 8 64Go,iPhone 12 64Go,3811
iPhone 8 64Go,iPhone 11 64Go,2953
iPhone 8 64Go,iPhone 12 mini 64Go,749
iPhone 8 64Go,iPhone 12 128Go,532
iPhone 8 64Go,iPhone 12 Pro Max 128Go,434
iPhone 8 64Go,iPhone 11 Pro 64Go,304
iPhone 8 64Go,iPhone 11 128Go,271
iPhone 8 64Go,iPhone SE 2020 64Go,185
iPhone 8 64Go,iPhone 12 mini 128Go,185
iPhone 8 64Go,iPhone 12 Pro 128Go,87
iPhone 8 64Go,Galaxy S20 FE,76
iPhone 8 64Go,iPhone 11 Pro Max 64Go,65
iPhone 8 64Go,iPhone XR 64Go,43
iPhone 8 64Go,Galaxy S20,33
iPhone 8 64Go,Galaxy Note20 5G,33
iPhone 8 64Go,iPhone 12 Pro Max 512Go,22
iPhone 8 64Go,Galaxy S20+,22
iPhone 8 64Go,Mi 10T,22
iPhone 8 64Go,Galaxy Note20 Ultra 5G,22
iPhone 8 64Go,MI 10T PRO,22
iPhone 8 64Go,iPhone 11 Pro 256Go,11
