target,source,value
Brazil,Bight of Benin,733769
Brazil,Bight of Biafra and Gulf of Guinea islands,98256
Brazil,Gold Coast,40507
Brazil,Others Dep.,18627
Brazil,Senegambia and offshore Atlantic,86001
Brazil,Sierra Leone e Windward Coast,5409
Brazil,Southeast Africa and Indian Ocean islands,232940
Brazil,West Central Africa and St. Helena,1818611
Caribbean,Bight of Benin,494753
Caribbean,Bight of Biafra and Gulf of Guinea islands,678927
Caribbean,Gold Coast,517280
Caribbean,Others Dep.,192389
Caribbean,Senegambia and offshore Atlantic,144125
Caribbean,Sierra Leone e Windward Coast,284412
Caribbean,Southeast Africa and Indian Ocean islands,57138
Caribbean,West Central Africa and St. Helena,793963
Mainland North America,Bight of Benin,7153
Mainland North America,Bight of Biafra and Gulf of Guinea islands,39389
Mainland North America,Gold Coast,26918
Mainland North America,Others Dep.,12532
Mainland North America,Senegambia and offshore Atlantic,49118
Mainland North America,Sierra Leone e Windward Coast,40366
Mainland North America,Southeast Africa and Indian Ocean islands,3958
Mainland North America,West Central Africa and St. Helena,62966
Others Arr,Bight of Benin,40607
Others Arr,Bight of Biafra and Gulf of Guinea islands,34687
Others Arr,Gold Coast,2108
Others Arr,Others Dep.,1499
Others Arr,Senegambia and offshore Atlantic,8435
Others Arr,Sierra Leone e Windward Coast,12793
Others Arr,Southeast Africa and Indian Ocean islands,9924
Others Arr,West Central Africa and St. Helena,50046
Spanish American Mainland,Bight of Benin,15822
Spanish American Mainland,Bight of Biafra and Gulf of Guinea islands,13700
Spanish American Mainland,Gold Coast,5030
Spanish American Mainland,Others Dep.,5155
Spanish American Mainland,Senegambia and offshore Atlantic,44889
Spanish American Mainland,Sierra Leone e Windward Coast,326
Spanish American Mainland,Southeast Africa and Indian Ocean islands,14327
Spanish American Mainland,West Central Africa and St. Helena,131837
